,fecha,estacion,tsm,ano,mes,chla,mes_num,est_index,longitud,latitud,evento,oni,estacion_climatica
6934,2015-08-01,est_8,32.2178,2015.0,8,0.3817,08,7.0,-111.5,26.8,Niño,1.9,JJA
6935,2015-08-01,est_9,32.2561,2015.0,8,0.515,08,8.0,-111.9,27.2,Niño,1.9,JJA
6936,2015-09-01,est_1,31.5433,2015.0,9,0.1799,09,0.0,-109.3,23.8,Niño,2.2,SON
6937,2015-09-01,est_10,31.5594,2015.0,9,0.6328,09,9.0,-112.3,27.6,Niño,2.2,SON
6938,2015-09-01,est_11,31.335,2015.0,9,1.3172,09,10.0,-112.6,28.0,Niño,2.2,SON
6939,2015-09-01,est_12,30.3189,2015.0,9,1.6004,09,11.0,-112.9,28.5,Niño,2.2,SON
6940,2015-09-01,est_13,30.2561,2015.0,9,2.5544,09,12.0,-113.2,28.9,Niño,2.2,SON
6941,2015-09-01,est_14,30.9589,2015.0,9,0.9494,09,13.0,-113.6,29.4,Niño,2.2,SON
6942,2015-09-01,est_15,31.0417,2015.0,9,0.6005,09,14.0,-114.0,29.7,Niño,2.2,SON
6943,2015-09-01,est_16,31.1867,2015.0,9,0.9846,09,15.0,-114.5,30.2,Niño,2.2,SON
6944,2015-09-01,est_17,31.4128,2015.0,9,1.7982,09,16.0,-114.5,30.7,Niño,2.2,SON
6945,2015-09-01,est_2,31.5333,2015.0,9,0.2299,09,1.0,-109.7,24.2,Niño,2.2,SON
6946,2015-09-01,est_3,31.8794,2015.0,9,0.2918,09,2.0,-110.1,24.6,Niño,2.2,SON
6947,2015-09-01,est_4,31.6844,2015.0,9,0.2923,09,3.0,-110.5,24.8,Niño,2.2,SON
6948,2015-09-01,est_5,31.9017,2015.0,9,0.2964,09,4.0,-110.8,25.3,Niño,2.2,SON
6949,2015-09-01,est_6,32.04,2015.0,9,0.4208,09,5.0,-111.1,25.8,Niño,2.2,SON
6950,2015-09-01,est_7,31.6728,2015.0,9,0.4628,09,6.0,-111.2,26.3,Niño,2.2,SON
6951,2015-09-01,est_8,31.8956,2015.0,9,0.5166,09,7.0,-111.5,26.8,Niño,2.2,SON
6952,2015-09-01,est_9,31.9778,2015.0,9,0.568,09,8.0,-111.9,27.2,Niño,2.2,SON
6953,2015-10-01,est_1,30.8317,2015.0,10,0.1511,10,0.0,-109.3,23.8,Niño,2.4,SON
6954,2015-10-01,est_10,28.8356,2015.0,10,1.6702,10,9.0,-112.3,27.6,Niño,2.4,SON
6955,2015-10-01,est_11,28.2472,2015.0,10,3.5812,10,10.0,-112.6,28.0,Niño,2.4,SON
6956,2015-10-01,est_12,27.5561,2015.0,10,8.6743,10,11.0,-112.9,28.5,Niño,2.4,SON
6957,2015-10-01,est_13,27.8556,2015.0,10,3.105,10,12.0,-113.2,28.9,Niño,2.4,SON
6958,2015-10-01,est_14,28.4417,2015.0,10,2.2241,10,13.0,-113.6,29.4,Niño,2.4,SON
6959,2015-10-01,est_15,29.08,2015.0,10,1.0642,10,14.0,-114.0,29.7,Niño,2.4,SON
6960,2015-10-01,est_16,29.2945,2015.0,10,1.4337,10,15.0,-114.5,30.2,Niño,2.4,SON
6961,2015-10-01,est_17,29.6867,2015.0,10,1.911,10,16.0,-114.5,30.7,Niño,2.4,SON
6962,2015-10-01,est_2,30.4595,2015.0,10,0.1674,10,1.0,-109.7,24.2,Niño,2.4,SON
6963,2015-10-01,est_3,30.5322,2015.0,10,0.2043,10,2.0,-110.1,24.6,Niño,2.4,SON
6964,2015-10-01,est_4,30.3272,2015.0,10,0.2469,10,3.0,-110.5,24.8,Niño,2.4,SON
6965,2015-10-01,est_5,30.4428,2015.0,10,0.2388,10,4.0,-110.8,25.3,Niño,2.4,SON
6966,2015-10-01,est_6,30.1639,2015.0,10,0.2917,10,5.0,-111.1,25.8,Niño,2.4,SON
6967,2015-10-01,est_7,29.8978,2015.0,10,0.3105,10,6.0,-111.2,26.3,Niño,2.4,SON
6968,2015-10-01,est_8,29.8678,2015.0,10,0.3519,10,7.0,-111.5,26.8,Niño,2.4,SON
6969,2015-10-01,est_9,29.4294,2015.0,10,0.6731,10,8.0,-111.9,27.2,Niño,2.4,SON
6970,2015-11-01,est_1,28.4528,2015.0,11,0.1833,11,0.0,-109.3,23.8,Niño,2.6,SON
6971,2015-11-01,est_10,24.9561,2015.0,11,2.6879,11,9.0,-112.3,27.6,Niño,2.6,SON
6972,2015-11-01,est_11,24.4489,2015.0,11,3.1744,11,10.0,-112.6,28.0,Niño,2.6,SON
6973,2015-11-01,est_12,24.2433,2015.0,11,3.4065,11,11.0,-112.9,28.5,Niño,2.6,SON
6974,2015-11-01,est_13,23.9467,2015.0,11,2.2282,11,12.0,-113.2,28.9,Niño,2.6,SON
6975,2015-11-01,est_14,24.57,2015.0,11,2.1524,11,13.0,-113.6,29.4,Niño,2.6,SON
6976,2015-11-01,est_15,24.7328,2015.0,11,1.8681,11,14.0,-114.0,29.7,Niño,2.6,SON
6977,2015-11-01,est_16,24.3828,2015.0,11,1.8545,11,15.0,-114.5,30.2,Niño,2.6,SON
6978,2015-11-01,est_17,24.1561,2015.0,11,2.0534,11,16.0,-114.5,30.7,Niño,2.6,SON
6979,2015-11-01,est_2,27.9678,2015.0,11,0.334,11,1.0,-109.7,24.2,Niño,2.6,SON
6980,2015-11-01,est_3,27.6917,2015.0,11,0.5524,11,2.0,-110.1,24.6,Niño,2.6,SON
6981,2015-11-01,est_4,27.6983,2015.0,11,0.6173,11,3.0,-110.5,24.8,Niño,2.6,SON
6982,2015-11-01,est_5,27.7283,2015.0,11,0.6774,11,4.0,-110.8,25.3,Niño,2.6,SON
6983,2015-11-01,est_6,27.5789,2015.0,11,0.6938,11,5.0,-111.1,25.8,Niño,2.6,SON
6984,2015-11-01,est_7,27.075,2015.0,11,1.0795,11,6.0,-111.2,26.3,Niño,2.6,SON
6985,2015-11-01,est_8,26.4006,2015.0,11,1.1918,11,7.0,-111.5,26.8,Niño,2.6,SON
6986,2015-11-01,est_9,25.4195,2015.0,11,1.3737,11,8.0,-111.9,27.2,Niño,2.6,SON
6987,2015-12-01,est_1,25.3122,2015.0,12,0.4755,12,0.0,-109.3,23.8,Niño,2.6,DJF
6988,2015-12-01,est_10,21.4139,2015.0,12,2.2786,12,9.0,-112.3,27.6,Niño,2.6,DJF
6989,2015-12-01,est_11,20.915,2015.0,12,2.6524,12,10.0,-112.6,28.0,Niño,2.6,DJF
6990,2015-12-01,est_12,19.3944,2015.0,12,3.4954,12,11.0,-112.9,28.5,Niño,2.6,DJF
6991,2015-12-01,est_13,19.5578,2015.0,12,1.3279,12,12.0,-113.2,28.9,Niño,2.6,DJF
6992,2015-12-01,est_14,20.1806,2015.0,12,1.6292,12,13.0,-113.6,29.4,Niño,2.6,DJF
6993,2015-12-01,est_15,20.3922,2015.0,12,1.8022,12,14.0,-114.0,29.7,Niño,2.6,DJF
6994,2015-12-01,est_16,20.0106,2015.0,12,1.7235,12,15.0,-114.5,30.2,Niño,2.6,DJF
6995,2015-12-01,est_17,19.4661,2015.0,12,1.8372,12,16.0,-114.5,30.7,Niño,2.6,DJF
6996,2015-12-01,est_2,24.8172,2015.0,12,0.5567,12,1.0,-109.7,24.2,Niño,2.6,DJF
6997,2015-12-01,est_3,23.9945,2015.0,12,0.722,12,2.0,-110.1,24.6,Niño,2.6,DJF
6998,2015-12-01,est_4,23.8639,2015.0,12,1.5707,12,3.0,-110.5,24.8,Niño,2.6,DJF
6999,2015-12-01,est_5,23.4722,2015.0,12,1.2442,12,4.0,-110.8,25.3,Niño,2.6,DJF
7000,2015-12-01,est_6,23.5245,2015.0,12,0.9265,12,5.0,-111.1,25.8,Niño,2.6,DJF
